timestamp,par,direcao,preco_entrada,score_tecnico,score_ia
2025-04-09 03:50:12,XRP/USDT,buy,,,
2025-04-09 03:50:12,DOGE/USDT,sell,,,
2025-04-09 03:50:13,TRX/USDT,sell,,,
2025-04-09 03:51:13,XRP/USDT,buy,,,
2025-04-09 03:51:13,DOGE/USDT,sell,,,
2025-04-09 03:51:14,TRX/USDT,sell,,,
2025-04-09 03:52:14,XRP/USDT,buy,,,
2025-04-09 03:52:14,DOGE/USDT,sell,,,
2025-04-09 03:52:15,TRX/USDT,sell,,,
2025-04-09 03:52:55,XRP/USDT,buy,,,
2025-04-09 03:52:55,DOGE/USDT,sell,,,
2025-04-09 03:52:56,TRX/USDT,sell,,,
2025-04-09 03:53:26,XRP/USDT,buy,,,
2025-04-09 03:53:27,DOGE/USDT,sell,,,
2025-04-09 03:53:27,TRX/USDT,sell,,,
2025-04-09 03:54:27,XRP/USDT,buy,,,
2025-04-09 03:54:28,DOGE/USDT,sell,,,
2025-04-09 03:54:28,TRX/USDT,sell,,,
2025-04-09 03:55:29,XRP/USDT,buy,,,
2025-04-09 03:55:29,DOGE/USDT,sell,,,
2025-04-09 03:55:29,TRX/USDT,sell,,,
2025-04-09 03:56:30,XRP/USDT,buy,,,
2025-04-09 03:56:30,DOGE/USDT,sell,,,
2025-04-09 03:56:30,TRX/USDT,sell,,,
2025-04-09 03:57:22,XRP/USDT,buy,,,
2025-04-09 03:57:23,DOGE/USDT,buy,,,
2025-04-09 03:57:23,TRX/USDT,sell,,,
2025-04-09 03:58:23,XRP/USDT,buy,,,
2025-04-09 03:58:24,DOGE/USDT,buy,,,
2025-04-09 03:58:24,TRX/USDT,sell,,,
2025-04-09 03:59:24,XRP/USDT,buy,,,
2025-04-09 03:59:25,DOGE/USDT,buy,,,
2025-04-09 03:59:25,TRX/USDT,sell,,,
2025-04-09 04:00:25,XRP/USDT,buy,,,
2025-04-09 04:00:26,DOGE/USDT,sell,,,
2025-04-09 04:00:26,TRX/USDT,sell,,,
2025-04-09 04:01:54,XRP/USDT,buy,,,
2025-04-09 04:01:54,DOGE/USDT,sell,,,
2025-04-09 04:01:54,TRX/USDT,sell,,,
2025-04-09 04:02:54,XRP/USDT,buy,,,
2025-04-09 04:02:55,DOGE/USDT,sell,,,
2025-04-09 04:02:55,TRX/USDT,sell,,,
2025-04-09 04:03:55,XRP/USDT,sell,,,
2025-04-09 04:03:56,DOGE/USDT,sell,,,
2025-04-09 04:03:56,TRX/USDT,sell,,,
2025-04-09 04:04:56,XRP/USDT,sell,,,
2025-04-09 04:04:57,DOGE/USDT,sell,,,
2025-04-09 04:04:57,TRX/USDT,sell,,,
2025-04-09 04:05:58,XRP/USDT,sell,,,
2025-04-09 04:05:58,DOGE/USDT,sell,,,
2025-04-09 04:05:58,TRX/USDT,sell,,,
2025-04-09 04:09:03,XRP/USDT,buy,,,
2025-04-09 04:09:04,DOGE/USDT,sell,,,
2025-04-09 04:09:05,TRX/USDT,sell,,,
2025-04-09 04:10:05,XRP/USDT,sell,,,
2025-04-09 04:10:06,DOGE/USDT,sell,,,
2025-04-09 04:10:06,TRX/USDT,sell,,,
2025-04-09 04:11:07,XRP/USDT,sell,,,
2025-04-09 04:11:08,DOGE/USDT,sell,,,
2025-04-09 04:11:08,TRX/USDT,sell,,,
2025-04-09 04:12:09,XRP/USDT,sell,,,
2025-04-09 04:12:09,DOGE/USDT,sell,,,
2025-04-09 04:12:10,TRX/USDT,sell,,,
2025-04-09 04:13:11,XRP/USDT,sell,,,
2025-04-09 04:13:11,DOGE/USDT,sell,,,
2025-04-09 04:13:12,TRX/USDT,sell,,,
2025-04-09 04:13:28,XRP/USDT,sell,,,
2025-04-09 04:13:29,DOGE/USDT,sell,,,
2025-04-09 04:13:30,TRX/USDT,sell,,,
2025-04-09 04:14:31,XRP/USDT,sell,,,
2025-04-09 04:14:32,DOGE/USDT,sell,,,
